車庫ID	使用中の数	販売数	使用中	査定ID	車名	型式	車体番号
1	1	1	TRUE	18001878	トヨタ	5BA-MXPC10G	MXPC10-1015889
2	1	2	TRUE	18450908	トヨタ	DAA-NHP10	NHP10-2405085
3	1	3	TRUE	18142512	レクサス	5BA-USE30	USE30-0001739
4	1	1	TRUE	14823788	トヨタ	6AA-MXPL10G	MXPL10-1004231
5	1	1	TRUE	16347450	レクサス	3BA-AGL20W	AGL20-0019075
6	1	2	TRUE	18041447	ホンダ	DBA-GE8	GE8-1500531
7	1	3	TRUE	18058881	トヨタ	DAA-NHP10	NHP10-2593198
8	1	0	TRUE	18269276	トヨタ	DAA-ZVW30	ZVW30-5500680
9	1	3	TRUE	16919087	レクサス	6AA-AXZH10	AXZH10-1001855
10	1	0	TRUE	17318828	トヨタ	DAA-ZVW41W	ZVW41-3216218
11	1	1	TRUE	12549043	トヨタ	5BA-A200A	A200A-0086695
12	1	2	TRUE	13864569	トヨタ	DBA-NCP120	NCP120-2077433
欠番	0	0	FALSE
14	1	1	TRUE	16052337	トヨタ	6AA-ZVG11	ZVG11-1026665
15	1	1	TRUE	16801490	ﾄﾖﾀ	DAA-NHW20	NHW20-3505020
16	1	1	TRUE	18452618	トヨタ	DAA-ZVW51	ZVW51-6070432
17	1	1	TRUE	18098689	レクサス	3BA-ASE30	ASE30-0013049
18	1	4	TRUE	18363560	トヨタ	DBA-ZRR80G	ZRR80-0120909
19	1	2	TRUE	18292915	トヨタ	5AA-TZSH35	TZSH35-4004261
20	1	2	TRUE	18314496	トヨタ	3BA-AGH40W	AGH40-0005182
21	1	2	TRUE	18075205	トヨタ	DAA-AWS210	AWS210-6131560
22	1	2	TRUE	16041110	トヨタ	6AA-ZVG11	ZVG11-1042234
23	1	2	TRUE	18450991	トヨタ	DBA-ZRR80G	ZRR80-0466023
24	1	2	TRUE	18637091	トヨタ	5BA-MXPC10G	MXPC10-1024576
25	1	1	TRUE	17159030	スバル	DBA-VMG	VMG-003400
欠番	0	0	FALSE
27	1	3	TRUE	18227890	トヨタ	DBA-GRX120	GRX120-3069966
28	1	2	TRUE	18568293	トヨタ	3BA-VJA300W	VJA300-4083813
29	1	1	TRUE	17566783	ﾄﾖﾀ	CBA-TRH214W	TRH214-0051537
30	1	1	TRUE	16144387	ホンダ	DBA-GK3	GK3-1344403
31	1	1	TRUE	17438204	トヨタ	LDA-GDJ150W	GDJ150-0050725
32	1	1	TRUE	13599640	トヨタ	CBA-ACU30W	ACU30-0085388
33	1	1	TRUE	13142838	トヨタ	DBA-ZRR80W	ZRR80-0221314
34	1	2	TRUE	18292572	レクサス	6AA-AAZH20	AAZH20-1011921
35	1	2	TRUE	16801771	ホンダ	DAA-GB7	GB7-1023531
36	1	2	TRUE	17730569	トヨタ	DAA-ZVW51	ZVW51-6147523
37	1	1	TRUE	18676620	レクサス	6AA-AXZH10	AXZH10-1014178
38	1	2	TRUE	18143559	トヨタ	5BA-NSP170G	NSP170-7268799
39	1	3	TRUE	16651175	レクサス	3BA-AGL20W	AGL20-0019831
40	1	1	TRUE	16396317	プジョー	3BA-P21HN05	VR3UPHNKSLT115880
41	1	3	TRUE	14642033	トヨタ	DAA-NHP10	NHP10-6489940
42	1	0	TRUE	18568161	トヨタ	DBA-GGH20W	GGH20-8078251
43	1	0	TRUE	16427836	トヨタ	6AA-ZVG11	ZVG11-1049228
44	1	0	TRUE	16614944	レクサス	3BA-VXFA50	VXFA50-6007230
45	1	3	TRUE	18487393	トヨタ	3BA-TRJ150W	TRJ150-0123137
46	1	1	TRUE	17792015	トヨタ	6AA-GWS224	GWS224-1005393
47	1	2	TRUE	15957546	レクサス	DAA-ZWA10	ZWA10-2343374
48	1	1	TRUE	15893087	レクサス	6AA-AVE30	AVE30-5096582
49	1	0	TRUE	17135034	トヨタ	6AA-MXWH60	MXWH60-4055684
50	1	1	TRUE	17886364	レクサス	DAA-AWL10	AWL10-7001279
51	1	2	TRUE	13297342	トヨタ	DAA-ZYX10	ZYX10-2111385
52	1	1	TRUE	18124978	レクサス	6AA-GYL20W	GYL20-0012919
53	1	2	TRUE	19117730	トヨタ	3BA-TRJ150W	TRJ150-0163003
54	1	3	TRUE	16590702	ﾒﾙｾﾃﾞｽ･ﾍﾞﾝﾂ	3DA-247613M	W1N2476132W208261
55	1	1	TRUE	11545454	トヨタ	DAA-NHP10	NHP10-2018674
56	1	0	TRUE	17132735	ホンダ	6AA-GR3	GR3-1222039
57	1	1	TRUE	18084613	ニッサンＭＴ	6AA-P15	P15-024842
58	1	1	TRUE	16884067	マツダ	LDA-DJ5FS	DJ5FS-115986
59	1	0	TRUE	17408840	トヨタ	3BA-VJA300W	VJA300-4103743
60	1	1	TRUE	16731310	トヨタ	6BA-MXUA80	MXUA80-0004896
61	1	1	TRUE	17262971	スバル	DBA-GT3	GT3-065584
欠番	0	0	FALSE
欠番	0	0	FALSE
64	1	2	TRUE	18909944	トヨタ	DBA-ZSU60W	ZSU60-0102947
65	1	1	TRUE	17502696	トヨタ	DBA-M900A	M900A-0415940
66	1	1	TRUE	16774934	レクサス	DBA-AGL20W	AGL20-0004398
67	1	0	TRUE	19144713	トヨタ	6AA-AYH30W	AYH30-0152951
68	0	1	FALSE
69	0	0	FALSE
70	0	0	FALSE
71	0	0	FALSE
72	0	2	FALSE
欠番	0	0	FALSE
欠番	0	0	FALSE
